Date,Open,High,Low,Close,Volume,Adj Close
2013-07-30,5.38,5.45,5.25,5.35,3178200,5.35
2013-07-29,5.45,5.58,5.39,5.42,5366800,5.42
2013-07-26,5.40,5.43,5.34,5.42,2889200,5.42
2013-07-25,5.49,5.53,5.35,5.40,4163500,5.40
2013-07-24,5.34,5.60,5.34,5.53,10252000,5.53
2013-07-23,5.20,5.35,5.20,5.34,4876700,5.34
2013-07-22,5.18,5.23,5.07,5.22,2704400,5.22
2013-07-19,5.40,5.40,5.17,5.19,5498500,5.19
2013-07-18,5.20,5.55,5.11,5.40,8960800,5.40
2013-07-17,5.40,5.44,5.17,5.20,5814100,5.20
2013-07-16,5.44,5.47,5.32,5.42,6949900,5.42
2013-07-15,5.27,5.38,5.21,5.35,6433200,5.35
2013-07-12,5.32,5.45,5.25,5.26,4814900,5.26
2013-07-11,5.25,5.40,5.15,5.31,7031800,5.31
2013-07-10,5.06,5.22,4.97,5.19,4594600,5.19
2013-07-09,5.11,5.11,4.88,5.07,4612600,5.07
2013-07-08,5.32,5.32,5.05,5.06,7045400,5.06
2013-07-05,5.36,5.58,5.35,5.43,4982800,5.43
2013-07-04,5.36,5.46,5.22,5.37,3382600,5.37
2013-07-03,5.43,5.43,5.23,5.35,4107200,5.35
2013-07-02,5.35,5.45,5.27,5.42,3345100,5.42
2013-07-01,5.27,5.35,5.21,5.35,2358000,5.35
2013-06-28,5.28,5.49,5.06,5.25,3934600,5.25
2013-06-27,5.43,5.55,5.20,5.23,4936500,5.23
2013-06-26,5.35,5.47,5.22,5.41,5476800,5.41
2013-06-25,5.40,5.55,4.93,5.28,9102700,5.28
2013-06-24,5.95,5.95,5.37,5.48,8778400,5.48
2013-06-21,5.88,6.04,5.77,5.97,3522900,5.97
2013-06-20,6.20,6.24,5.95,5.98,3963500,5.98
2013-06-19,6.13,6.31,5.85,6.30,5331800,6.30
2013-06-18,6.20,6.32,6.06,6.15,3602800,6.15
2013-06-17,6.43,6.44,6.25,6.26,5087100,6.26
2013-06-14,6.34,6.46,6.25,6.44,3344300,6.44
2013-06-13,6.24,6.35,5.72,6.34,5482700,6.34
2013-06-12,6.34,6.34,6.34,6.34,000,6.34
2013-06-11,6.34,6.34,6.34,6.34,000,6.34
2013-06-10,6.34,6.34,6.34,6.34,000,6.34
2013-06-07,6.25,6.40,6.14,6.34,5842000,6.34
2013-06-06,6.68,6.68,6.19,6.37,10172600,6.37
2013-06-05,6.63,6.84,6.55,6.68,5638400,6.68
2013-06-04,6.83,6.96,6.59,6.65,9027200,6.65
2013-06-03,6.93,7.04,6.82,6.87,8591800,6.87
2013-05-31,7.18,7.27,6.85,7.00,11882900,7.00
2013-05-30,7.07,7.30,6.95,7.25,15462700,7.25
2013-05-29,6.95,7.20,6.80,7.10,14099900,7.10
2013-05-28,6.99,7.25,6.82,6.90,13599500,6.90
2013-05-27,6.62,7.07,6.58,7.01,22939400,7.01
2013-05-24,6.47,6.64,6.45,6.58,9833500,6.58
2013-05-23,6.38,6.57,6.18,6.47,10689500,6.47
2013-05-22,6.50,6.76,6.39,6.44,14338600,6.40
2013-05-21,6.48,6.59,6.36,6.58,19502300,6.53
2013-05-20,5.85,6.50,5.85,6.50,32911400,6.45
2013-05-17,6.01,6.09,5.68,5.91,20854800,5.87
2013-05-16,6.18,6.40,6.02,6.08,12519900,6.04
2013-05-15,6.08,6.23,6.04,6.18,8126500,6.14
2013-05-14,6.00,6.17,5.90,6.11,7813500,6.07
2013-05-13,6.09,6.09,5.86,6.05,7342200,6.01
2013-05-10,6.14,6.25,5.95,6.11,7267400,6.07
2013-05-09,5.90,6.22,5.89,6.10,14554800,6.06
2013-05-08,5.83,6.04,5.83,5.96,7181800,5.92
2013-05-07,5.70,5.99,5.66,5.87,9692300,5.83
2013-05-06,5.35,5.75,5.34,5.70,10731400,5.66
2013-05-03,5.31,5.43,5.30,5.33,4426600,5.29
2013-05-02,5.20,5.36,4.95,5.35,8391400,5.31
2013-05-01,5.22,5.22,5.22,5.22,000,5.18
2013-04-30,5.22,5.22,5.22,5.22,000,5.18
2013-04-29,5.22,5.22,5.22,5.22,000,5.18
2013-04-26,5.78,5.83,5.22,5.22,14238000,5.18
2013-04-25,5.80,5.92,5.79,5.80,5192900,5.76
2013-04-24,5.85,5.97,5.79,5.86,5022400,5.82
2013-04-23,6.20,6.27,5.83,5.85,9354100,5.81
2013-04-22,6.00,6.26,5.80,6.25,14495400,6.21
2013-04-19,5.97,6.11,5.92,6.06,6905800,6.02
2013-04-18,5.85,5.99,5.81,5.97,3930900,5.93
2013-04-17,5.80,5.99,5.77,5.88,6137000,5.84
2013-04-16,5.62,5.87,5.58,5.83,4000600,5.79
2013-04-15,5.95,5.95,5.70,5.70,4255400,5.66
2013-04-12,5.98,5.98,5.82,5.95,3364100,5.91
2013-04-11,6.00,6.11,5.91,5.95,3845000,5.91
2013-04-10,6.13,6.22,5.82,6.00,7693700,5.96
2013-04-09,6.09,6.23,6.06,6.16,5070700,6.12
2013-04-08,6.24,6.30,6.05,6.09,8817700,6.05
2013-04-05,6.35,6.35,6.35,6.35,000,6.31
2013-04-04,6.35,6.35,6.35,6.35,000,6.31
2013-04-03,6.30,6.45,6.23,6.35,7386800,6.31
2013-04-02,6.26,6.53,6.26,6.36,11920700,6.32
2013-04-01,6.18,6.32,6.17,6.29,7701700,6.25
2013-03-29,6.35,6.45,6.23,6.25,7353000,6.21
2013-03-28,6.31,6.55,6.18,6.38,10896300,6.34
2013-03-27,6.50,6.60,6.31,6.39,9400700,6.35
2013-03-26,6.53,6.65,6.40,6.48,11960100,6.43
2013-03-25,6.44,6.85,6.40,6.68,24702800,6.63
2013-03-22,6.04,6.75,5.97,6.53,27913700,6.48
2013-03-21,5.85,6.17,5.75,6.14,11991300,6.10
2013-03-20,5.71,5.86,5.65,5.86,4996300,5.82
2013-03-19,5.60,5.69,5.58,5.64,2189500,5.60
2013-03-18,5.70,5.76,5.53,5.62,4916400,5.58
2013-03-15,5.81,5.99,5.71,5.73,7766800,5.69
2013-03-14,5.70,5.87,5.70,5.80,4308500,5.76
2013-03-13,5.78,5.84,5.42,5.82,9811700,5.78
2013-03-12,6.10,6.19,5.70,5.79,10530700,5.75
2013-03-11,6.18,6.26,6.08,6.13,4301600,6.09
2013-03-08,6.09,6.29,6.01,6.21,6819400,6.17
2013-03-07,6.16,6.26,5.98,6.10,7994500,6.06
2013-03-06,6.20,6.33,6.12,6.17,9310700,6.13
2013-03-05,5.87,6.36,5.87,6.23,13544800,6.19
2013-03-04,5.83,6.01,5.76,5.92,18027000,5.88
2013-03-01,5.73,6.00,5.68,5.88,9102100,5.84
2013-02-28,5.70,5.78,5.58,5.75,5605000,5.71
2013-02-27,5.80,5.87,5.60,5.69,6762600,5.65
2013-02-26,5.79,6.05,5.75,5.77,10764000,5.73
2013-02-25,5.70,5.85,5.70,5.83,5969100,5.79
2013-02-22,5.68,5.92,5.66,5.68,11235500,5.64
2013-02-21,5.90,5.99,5.68,5.72,11249900,5.68
2013-02-20,5.75,6.08,5.72,5.91,12333900,5.87
2013-02-19,5.72,5.77,5.59,5.76,8838500,5.72
2013-02-18,5.72,5.82,5.65,5.80,16677700,5.76
2013-02-15,5.91,5.91,5.91,5.91,000,5.87
2013-02-14,5.91,5.91,5.91,5.91,000,5.87
2013-02-13,5.91,5.91,5.91,5.91,000,5.87
2013-02-12,5.91,5.91,5.91,5.91,000,5.87
2013-02-11,5.91,5.91,5.91,5.91,000,5.87
2013-02-08,5.48,6.05,5.42,5.91,36924500,5.87
2013-02-07,5.27,5.51,5.25,5.50,11629400,5.46
2013-02-06,5.30,5.37,5.25,5.26,7961800,5.22
2013-02-05,5.15,5.30,5.10,5.30,10785700,5.26
2013-02-04,5.50,5.50,5.21,5.23,16203200,5.19
2013-02-01,5.36,5.65,5.30,5.50,23777400,5.46
2013-01-31,5.45,5.64,5.36,5.48,23114800,5.44
2013-01-30,5.55,5.74,5.35,5.52,45184100,5.48
2013-01-29,4.81,5.28,4.81,5.28,17320400,5.24
2013-01-28,4.79,4.82,4.69,4.80,8056500,4.77
2013-01-25,4.62,4.75,4.60,4.69,6798400,4.66
2013-01-24,4.84,4.87,4.60,4.63,10560800,4.60
2013-01-23,4.80,4.84,4.72,4.83,7711400,4.80
2013-01-22,4.90,5.04,4.77,4.84,14932500,4.81
2013-01-21,4.89,4.93,4.81,4.92,14616800,4.89
2013-01-18,4.65,5.04,4.65,4.94,37812100,4.91
2013-01-17,4.70,4.72,4.60,4.62,10460500,4.59
2013-01-16,4.62,4.80,4.57,4.74,25631200,4.71
2013-01-15,4.60,4.67,4.57,4.62,15044700,4.59
2013-01-14,4.50,4.64,4.44,4.61,19018300,4.58
2013-01-11,4.70,4.76,4.48,4.49,15025800,4.46
2013-01-10,4.71,4.74,4.66,4.71,11633800,4.68
2013-01-09,4.85,4.90,4.66,4.74,15462900,4.71
2013-01-08,4.81,4.87,4.75,4.81,13464000,4.78
2013-01-07,4.76,4.95,4.69,4.83,26328300,4.80
2013-01-04,4.80,4.83,4.67,4.74,10472900,4.71
2013-01-03,4.76,4.76,4.76,4.76,000,4.73
2013-01-02,4.76,4.76,4.76,4.76,000,4.73
2013-01-01,4.76,4.76,4.76,4.76,000,4.73
